id,date
7235485,2013-09-13
7322079,2013-09-16
7452742,2013-09-21
7638950,2013-09-28
221614213,2017-12-27
222642142,2017-12-30
225125183,2018-01-05
229367413,2018-01-23
229894808,2018-01-26
231424249,2018-02-01
243025476,2018-03-14
255999699,2018-04-22
262201322,2018-05-08
276250906,2018-06-13
277411769,2018-06-16
279229697,2018-06-20
282436304,2018-06-27
283095800,2018-06-29
285968584,2018-07-05
295831260,2018-07-24
296111795,2018-07-25
297770888,2018-07-28
301454074,2018-08-04
303427342,2018-08-07
316312942,2018-08-31
321869916,2018-09-11
325622541,2018-09-20
335078499,2018-10-11
342043344,2018-10-28
343643028,2018-11-01
345546131,2018-11-05
346113600,2018-11-07
7824376,2013-10-05
7911851,2013-10-08
351914553,2018-11-24
353272872,2018-11-27
353942448,2018-11-30
355722087,2018-12-05
355877198,2018-12-06
357437887,2018-12-10
357904868,2018-12-12
361726944,2018-12-24
368123312,2019-01-06
368876324,2019-01-08
400461663,2019-01-12
401606392,2019-01-15
401879981,2019-01-16
406100320,2019-01-28
406917912,2019-01-31
202874742,2017-10-13
408959036,2019-02-06
411379119,2019-02-12
413812169,2019-02-18
416195356,2019-02-24
417742271,2019-02-28
418519744,2019-03-02
419902017,2019-03-05
421321034,2019-03-09
422490117,2019-03-11
423169117,2019-03-13
426479138,2019-03-21
426888239,2019-03-22
432267983,2019-04-03
442764467,2019-04-24
450030208,2019-05-08
452949504,2019-05-14
464215580,2019-06-05
477005457,2019-06-27
479682550,2019-07-01
7989861,2013-10-11
8110223,2013-10-16
8247745,2013-10-22
8486370,2013-11-02
8733326,2013-11-14
8765725,2013-11-17
8928034,2013-11-26
9060455,2013-12-03
205117021,2017-10-21
9131880,2013-12-09
9698635,2014-01-06
9778082,2014-01-09
9851511,2014-01-14
9910975,2014-01-19
10008923,2014-01-25
10175601,2014-02-04
10218075,2014-02-07
10290620,2014-02-11
10417905,2014-02-18
10656387,2014-03-02
10738459,2014-03-05
10900504,2014-03-12
10999124,2014-03-17
509300331,2019-08-14
513275629,2019-08-19
524622510,2019-09-06
538908821,2019-09-30
206207249,2017-10-24
207513718,2017-10-29
209044144,2017-11-04
211585196,2017-11-13
212870346,2017-11-19
215207863,2017-11-28
224809701,2018-01-04
232801027,2018-02-06
240567612,2018-03-05
543165149,2019-10-07
547858921,2019-10-16
569383514,2019-11-26
569957607,2019-11-28
573139318,2019-12-05
575500711,2019-12-10
576402659,2019-12-13
586007675,2020-01-01
589020209,2020-01-05
591079294,2020-01-10
592523203,2020-01-13
593238624,2020-01-15
594294231,2020-01-18
595462709,2020-01-20
597278571,2020-01-25
598456955,2020-01-27
602584379,2020-02-07
607902487,2020-02-19
608250150,2020-02-20
610824552,2020-02-25
612263163,2020-02-29
613503689,2020-03-02
614469991,2020-03-05
616227318,2020-03-09
616957977,2020-03-11
619347319,2020-03-17
620835912,2020-03-25
621004777,2020-03-27
621107727,2020-03-28
621647456,2020-04-03
621910328,2020-04-06
622060524,2020-04-09
11124225,2014-03-22
11529165,2014-04-07
11656224,2014-04-11
11788908,2014-04-15
11913649,2014-04-19
12109151,2014-04-23
12265320,2014-04-28
12531654,2014-05-05
12738972,2014-05-10
12876771,2014-05-13
13180462,2014-05-21
13463978,2014-05-28
13645340,2014-06-02
